"id","name","price",
"1","Technical Support","2999.99",
"2","Internet Package","49.99",
"3","Software Installation","19.99",
"4","Password Recovery","9.99",
"5","Hardware Repair","79.99",
"6","Network Troubleshooting","39.99",
"7","Email Services","14.99",
"8","Website Maintenance","24.99",
"9","Anti-virus Protection","29.99",
"10","Device Setup","34.99",
"11","Data Recovery","49.99",
"12","Navigation Services","19.99",
"13","Phone Call Troubleshooting","14.99",
"14","Streaming Assistance","9.99",
"15","GPS Services","24.99",
"16","System Optimization","39.99",
"17","Billing Support","14.99",
"18","Account Assistance","19.99",
"19","Virus Removal","29.99",
"20","Device Configuration","34.99",
"21","Software Compatibility Fix","14.99",
"22","Device Cooling Service","29.99",
"23","Data Recovery after Update","39.99",
"24","Email Attachment Support","9.99",
"25","Website Security Consultation","59.99",
"26","Printer Troubleshooting","19.99",
"27","Mobile App Crash Resolution","24.99",
"28","Network Latency Optimization","34.99",
"29","Account Recovery Assistance","14.99",
"30","GPS Signal Enhancement","19.99"
